episode_length,episode_return,episodes,steps,steps_per_second
92,-33.03592,417,38364,155.95573313459425
92,59.04414,418,38456,150.1376449916503
92,57.142822,419,38548,157.30809398306968
92,56.62058,420,38640,153.37169176053766
92,60.876465,421,38732,153.11371831987404
92,61.06077,422,38824,154.04058078392737
92,55.44328,423,38916,158.7578218502054
92,-169.11919,424,39008,149.94511954389597
92,-105.61887,425,39100,160.15943393250555
92,-67.52586,426,39192,153.72344151612066
92,56.193104,427,39284,155.02163086163085
92,54.027424,428,39376,152.6288558095529
92,-0.016216278,429,39468,157.12553846028555
92,-70.961136,430,39560,140.18752220651973
92,30.16,431,39652,157.161183535292
92,52.92401,432,39744,152.8793212194975
92,56.907394,433,39836,157.3717998598696
92,-106.36228,434,39928,156.2057996887024
92,51.90302,435,40020,153.22376351165153
92,9.91374,436,40112,156.76341509588798
92,60.593742,437,40204,127.76144238043761
92,57.35789,438,40296,143.92444298070083
92,59.189163,439,40388,160.7799115509582
92,56.894196,440,40480,151.13679573954911
92,53.25827,441,40572,159.0964244572697
92,57.103207,442,40664,155.02561677643143
92,6.688447,443,40756,153.07551309672525
92,-27.42401,444,40848,153.62423616051646
92,-148.06136,445,40940,159.46012752645782
92,62.286304,446,41032,145.54294331128366
92,62.204224,447,41124,158.26361330251805
92,55.748722,448,41216,156.1537759274307
92,58.64247,449,41308,120.78194449443865
92,59.132763,450,41400,148.21499772612742
92,57.943455,451,41492,158.46984244841505
92,61.49677,452,41584,154.8176267976754
92,59.0355,453,41676,157.9054063565488
92,60.960526,454,41768,150.38151817239418
92,19.519974,455,41860,148.34878860807186
92,55.934734,456,41952,135.74047646854382
92,57.902393,457,42044,156.2643124994938
92,1.7469816,458,42136,147.47549266341122
92,59.614758,459,42228,139.79736922570837
92,55.720245,460,42320,150.02807826518017
92,38.037544,461,42412,144.36484416679573
92,-23.232841,462,42504,138.3363995808422
92,8.888199,463,42596,157.81525263464414
92,59.740257,464,42688,152.55988338464445
92,-204.48946,465,42780,155.52209063081253
92,-74.92338,466,42872,156.46935783149726
92,15.018002,467,42964,149.47794433526983
92,61.387928,468,43056,154.84378142513305
92,-14.912142,469,43148,156.48826731271944
92,16.424513,470,43240,151.49780473508218
92,58.948975,471,43332,155.56510174042998
92,57.445942,472,43424,157.13737569533242
92,-130.117,473,43516,154.98769660845397
92,60.159763,474,43608,157.0939385809532
92,-108.22302,475,43700,157.28475449373695
92,58.83228,476,43792,150.44929710576633
92,-59.95204,477,43884,158.92933196923192
92,63.081703,478,43976,154.19107697926503
92,55.531734,479,44068,150.71101754824497
92,54.50575,480,44160,154.30878555141533
92,-29.895546,481,44252,157.58285274172036
92,4.509344,482,44344,151.9921978518884
92,46.950703,483,44436,161.12007261919723
92,57.152855,484,44528,154.51120245951986
92,60.001217,485,44620,154.99174303266918
92,-160.03844,486,44712,155.7264483885405
92,53.98789,487,44804,153.39016476854889
92,-6.370354,488,44896,152.67734881172115
92,-126.25085,489,44988,156.73998227375273
92,-10.711266,490,45080,152.82053142402043
92,53.7812,491,45172,156.40923321870446
92,20.092793,492,45264,156.2753874222675
92,-245.11873,493,45356,149.75291287361486
92,55.91475,494,45448,154.15959927993114
92,-279.64648,495,45540,156.74730427809897
92,3.3370514,496,45632,146.06759501136173
92,-18.323334,497,45724,159.0113272235775
92,60.43289,498,45816,153.42596507522873
92,60.003723,499,45908,157.62675385492696
92,-268.7498,500,46000,152.4915156245369
92,59.15722,501,46092,157.68859160892427
92,62.653393,502,46184,150.27557482332077
92,-187.58925,503,46276,157.6970980946029
92,63.858337,504,46368,150.99680848233083
92,-136.6704,505,46460,154.33452161117836
92,-150.81465,506,46552,154.0564474981735
92,46.61145,507,46644,155.95989329884407
92,6.7071257,508,46736,153.95011689607023
92,60.26828,509,46828,158.29614010675706
92,56.717857,510,46920,151.17273628332453
92,-147.62369,511,47012,156.37449871131932
92,-71.72733,512,47104,156.1122071247268
92,61.58585,513,47196,147.97049148896193
92,57.58671,514,47288,154.72990872010868
92,-183.0313,515,47380,157.70354301295873
92,62.716473,516,47472,152.53756970657912
92,57.2016,517,47564,157.69890261864322
92,61.417614,518,47656,158.30425766104534
92,55.321793,519,47748,150.94010680293715
92,-153.35065,520,47840,155.17080628700063
92,55.04564,521,47932,156.94027845111162
92,56.615803,522,48024,155.28539159990132
92,59.567078,523,48116,156.14297096385343
92,-46.828156,524,48208,153.48058204543213
92,53.92134,525,48300,161.90541181248852
92,55.74806,526,48392,150.45885908507987
92,-182.09587,527,48484,161.78085232249012
92,-97.08861,528,48576,155.8041646999826
92,52.11833,529,48668,153.95367935902766
92,-14.462669,530,48760,147.91740029424324
92,-191.1554,531,48852,161.17808426308542
92,61.475918,532,48944,147.6010629162416
92,-103.55177,533,49036,162.11273397319826
92,-189.19827,534,49128,155.97918423343927
92,58.545727,535,49220,155.20581959528135
92,61.877773,536,49312,153.85804146730462
92,58.224754,537,49404,147.43813364328219
92,-200.96672,538,49496,134.08383072069597
92,-41.07823,539,49588,153.9784368878537
92,-155.56165,540,49680,155.0203230279978
92,-11.564842,541,49772,150.3667509406788
92,58.27527,542,49864,155.89335729314462
92,-62.961174,543,49956,152.48886414209892
92,21.405241,544,50048,155.41404089589147
92,58.80025,545,50140,155.28995353486735
92,-89.63663,546,50232,144.26429339180532
92,60.81497,547,50324,157.86638737972115
92,-2.0713634,548,50416,155.00849125045292
92,57.5113,549,50508,154.9801645968558
92,28.393257,550,50600,153.65408833330878
92,-66.741486,551,50692,158.58133727859286
92,59.813805,552,50784,151.04225962959265
92,55.024033,553,50876,160.68825328611078
92,60.024868,554,50968,154.57650170669655
92,34.250412,555,51060,153.88086590195994
92,29.22375,556,51152,154.13367525259486
92,56.955025,557,51244,155.4522326248449
92,59.646217,558,51336,142.50771136975095
92,55.42962,559,51428,158.40309880223543
92,59.69162,560,51520,153.33750100337213
92,-24.493637,561,51612,155.43131876320683
92,60.60356,562,51704,156.9667721448187
92,-128.11992,563,51796,150.5105030421865
92,-31.13015,564,51888,154.15073117298476
92,-82.49672,565,51980,156.6410431587361
92,59.58042,566,52072,157.86909999599064
92,59.236935,567,52164,153.60393352464365
92,58.288593,568,52256,157.9096065682047
92,56.601456,569,52348,156.39065974706014
92,59.93302,570,52440,152.6014524734918
92,58.221664,571,52532,157.89745887515502
92,-8.632489,572,52624,149.18321760185512
92,-16.274855,573,52716,158.48617913626842
92,62.717342,574,52808,154.91999704513555
92,-16.557156,575,52900,160.7608214102256
92,58.470932,576,52992,150.36944633007894
92,55.325436,577,53084,160.05055573229453
92,54.6355,578,53176,152.37150795192673
92,60.782436,579,53268,153.2667301114202
92,-33.435116,580,53360,147.9828622181861
92,60.99085,581,53452,155.0709086700445
92,-10.199381,582,53544,153.2544949574582
92,-113.05914,583,53636,159.3189066219109
92,61.908184,584,53728,151.8870824960786
92,58.106483,585,53820,158.4437497869971
92,64.28697,586,53912,157.46408195661002
92,-0.50349426,587,54004,154.0452543601634
92,57.537834,588,54096,141.5069347850402
92,53.88388,589,54188,156.4380213067341
92,-55.72068,590,54280,153.75682435525897
92,65.841866,591,54372,157.61220326909458
92,-10.94022,592,54464,157.77911674173805
92,-89.511826,593,54556,155.00712137182816
92,8.677502,594,54648,157.48888877098366
92,59.831974,595,54740,159.3216036043029
92,57.520042,596,54832,149.91762292534344
92,56.9158,597,54924,156.9629411781455
92,56.136753,598,55016,153.97315297521072
92,-114.18589,599,55108,156.82693543359312
92,60.46147,600,55200,152.36849965133516
92,-41.393383,601,55292,161.24011272050197
92,59.547127,602,55384,151.5085712311319
92,-75.48663,603,55476,160.4561946851137
92,23.96409,604,55568,155.04660849076694
92,53.563255,605,55660,155.40158568621584
92,62.705456,606,55752,154.03916646806792
92,56.812656,607,55844,159.47752586556766
92,-129.03809,608,55936,151.49245179833406
92,61.28115,609,56028,159.07596133788783
92,53.560444,610,56120,147.44348558391295
92,54.598667,611,56212,154.7663372078799
92,-93.021355,612,56304,158.05008685309193
92,17.67641,613,56396,152.3431143256453
92,57.146717,614,56488,152.57526553070952
92,60.86535,615,56580,156.82068942814797
92,20.035244,616,56672,156.0562694930828
92,-49.886314,617,56764,153.31508112021143
92,9.936867,618,56856,158.905574395625
92,-185.48079,619,56948,156.45857259051363
92,-18.508133,620,57040,150.87878701384113
92,-40.43902,621,57132,157.70766803717538
92,57.67404,622,57224,152.53871538511407
92,-109.534294,623,57316,156.26380625482912
92,-33.071327,624,57408,153.91198430390875
92,56.349155,625,57500,158.26724836954895
92,56.365673,626,57592,156.12648205991357
92,57.096565,627,57684,157.36955355893895
92,-170.67343,628,57776,154.3007640742737
92,-20.1698,629,57868,154.8529780254795
92,64.702835,630,57960,145.98221924951613
92,55.737026,631,58052,159.81100126440367
92,16.845854,632,58144,155.66588849045513
92,59.67144,633,58236,153.51263803173322
92,6.206046,634,58328,156.58663221194524
92,58.200222,635,58420,159.15876446500516
92,-92.60608,636,58512,151.71485738347718
92,-12.202587,637,58604,154.79290916873157
92,-71.62303,638,58696,150.87052829086554
92,53.08235,639,58788,149.59111592851124
92,58.050636,640,58880,156.25431477466634
92,60.582645,641,58972,155.29257833125138
92,32.43071,642,59064,153.53859792505068
92,55.33369,643,59156,157.81383269792167
92,52.637318,644,59248,153.0795817441924
92,-18.9923,645,59340,156.66063018115545
92,-79.69488,646,59432,154.6160175180961
92,-122.11702,647,59524,148.16906994023336
92,-127.321014,648,59616,153.7289532792639
92,-4.651597,649,59708,160.61327708119322
92,55.17306,650,59800,151.2393336118704
92,62.545395,651,59892,160.2274665832884
92,-107.505066,652,59984,155.70049735264425
92,56.59828,653,60076,158.0297625556302
92,57.247143,654,60168,154.26381434738823
92,60.6105,655,60260,160.12035626197138
92,31.37056,656,60352,149.6663106100979
92,-13.307904,657,60444,161.04018993826338
